nome,tipologia,materiale,progetto,m2,peso (kg),unità,lunghezza
Bulloni M4,ferramenta,metallo,,,29,8024,
Bulloni M8,ferramenta,metallo,,,143,5542,
Dadi di acciaio,ferramenta,metallo,"Palazzo Clerici, Milano",,,5000,
Dadi di acciaio,ferramenta,metallo,,,,5000,
Listelli 20x20,listelli,legno,Materadio 2017,20,,,
Listelli 20x40,listelli,legno,Materadio 2018,190,,,
Listelli 20x40,listelli,legno,City Dressing,5,,,
Listelli 40x40,listelli,legno,Materadio 2018,72,,,
Listelli 40x40,listelli,legno,City Dressing,13,,,
Listelli 40x40 mm,listelli,legno,Mostra Piccianello,400,,,
Listelli abete 40x40,listelli,legno,Infopoint San Francesco,90,,,
"Listelli abete 44,5x21",listelli,legno,Infopoint San Francesco,90,,,
Listelli abete 63x21,listelli,legno,Infopoint San Francesco,12,,,
Listelli di abete 30x22,listelli,legno,Infopoint San Francesco,170,,,
Listelli di abete 40x40,listelli,legno,Infopoint Via Lucana,215,,,
Listelli di abete 40x40,listelli,legno,City Dressing,200,,,
Listelli di abete 40x40,listelli,legno,Infopoint San Francesco,"40,5",,,
Listelli di abete 40x40mm,listelli,legno,prima mostra ods (2016),65,,,
Listelli di abte 10x10mm,listelli,legno,prima mostra ods (2016),100,,,
Listelli di faggio 2x2x48cm,listelli,legno,"Palazzo Clerici, Milano",6480,,,
Listelli larice 20x20,listelli,legno,Future Digs (cubottti e insegna luminosa),"34,8",,,
Listelli misti 40x40 e 20x40,listelli,legno,Allestimento Pollino Music Festival,350,,,
MDF,MDF,legno,prima mostra ods (2016),30,,,
MDF,MDF,legno,Infopoint Santa Lucia,"3,7",,,
MDF colorato in pasta,MDF,legno,Tavolo MDF blu (15 gennaio 2019),2,,,
Multistrato betulla,Multistrato,legno,Materadio 2017,20,,,
Multistrato betulla sp. 18,Multistrato,legno,Silent City,36,,,
Multistrato betulla sp.18,Multistrato,legno,City Dressing,240,,,
Multistrato betulla sp.18,Multistrato,legno,Casa Cava,35,,,
Multistrato betulla sp.18,Multistrato,legno,Salone Satellite 2019,8,,,
Multistrato di pino sp.18,Multistrato,legno,Infopoint San Francesco,"0,68",,,
Multistrato sp. 18,Multistrato,legno,Lipsia (15 settembre 2018),"3,06",,,
Murali 4x12x400cm,listelli,legno,Materadio 2019,96,,,
Murali 4x4x400cm,listelli,legno,Pitagora,1400,,,
Murali 4x4x400cm,listelli,legno,Universo Assisi,40,,,
Murali 4x8x400/420cm,listelli,legno,Materadio 2019,510,,,
Murali 4x8x400cm,listelli,legno,Silent City,412,,,
Murali 4x8x400cm,listelli,legno,Universo Assisi,376,,,
Murali 5x12x400/430cm,listelli,legno,Materadio 2019,345,,,
Pannelli,pannelli,legno,"Palazzo Clerici, Milano","57,6",,,
"Pannelli betulla 250x125 sp 1,2cm",pannelli,legno,Universo Assisi,"12,5",,,
"Pannelli betulla 250x125 sp 1,8cm",pannelli,legno,Materadio 2019,25,,,
"Pannelli betulla 250x125 sp 1,8cm",pannelli,legno,Universo Assisi,"18,75",,,
Pannelli di Multistrato betulla,pannelli,legno,City Dressing,"62,50",,,
Pannelli listellare faggio sp. 32 mm,pannelli,legno,Casino Padula,"24,02",,,
"Pannelli mdf/betulla 250x125 sp. 1,2cm",pannelli,legno,Pitagora,200,,,
Pannelli multistarto pino sp.12mm,pannelli,legno,prima mostra ods (2016),10,,,
Pannelli Multistrato 22mm (pinboard),pannelli,legno,Casino Padula,"52,8",,,
"Pannelli Multistrato 48x48 sp.1,8cm",pannelli,legno,"Palazzo Clerici, Milano","57,6",,,
Pannelli Multistrato betulla sp. 12mm,pannelli,legno,Casino Padula,"19,8",,,
Pannelli Multistrato betulla sp. 18mm,pannelli,legno,Casino Padula,"50,93",,,
Pannelli Multistrato betulla sp. 18mm,pannelli,legno,Mostra Piccianello,39,,,
Pannelli Multistrato betulla sp.18,pannelli,legno,Allestimento Pollino Music Festival,95,,,
Pannelli Multistrato pino per pedana,pannelli,legno,"Palazzo Clerici, Milano",87,,,
Pannelli OSB 1250x2500 sp. 18mm,pannelli,legno,Infopoint San Francesco,"159,4",,,
Pannelli OSB incastro maschio femmina,pannelli,legno,Casino Padula,"159,38",,,
Profilati metallici 20x20,tubi,metallo,,,3000,,2500
Profilati metallici 40x40,tubi,metallo,,,4500,,1200
"Tavole 18x2,2x400cm abete",tavole,legno,Silent City,556,,,
"Tavole 18x2,2x400cm abete",tavole,legno,Universo Assisi,540,,,
"Tavole 18x2,2x400cm abete",tavole,legno,Materadio 2019,480,,,
"Tavole 2,5x20",tavole,legno,Workshop ENZO MARI (maggio 2019),38,,,
"Tavole 2,5x5",tavole,legno,Workshop ENZO MARI (maggio 2019),41,,,
"Tavole 2,5x7,5",tavole,legno,Workshop ENZO MARI (maggio 2019),42,,,
Tavole 20x100,tavole,legno,Materadio 2018,5,,,
Tavole 900x90 sp. 18,tavole,legno,City Dressing,63,,,
"Tavole 9x2,2x400cm abete",tavole,legno,Silent City,728,,,
Tavole larice sp.20,tavole,legno,Future Digs (cubottti e insegna luminosa),"24,3",,,
Viti,ferramenta,metallo,"Palazzo Clerici, Milano",,,50000,
Viti,ferramenta,metallo,,,,50000,